season_year,season_label,vessel_id,trip_id,dep_ts,arr_ts,arr_date,landed_kg,n_records,fishing_h,distance_km
2023,2023-2024,matsumae18,matsumae18_T3,2023-09-23 02:34:04,2023-09-23 08:40:05,2023-09-23,160.9,4,2.7669444444444444,42.51127485494708
2023,2023-2024,matsumae18,matsumae18_T6,2023-09-26 02:32:05,2023-09-26 07:57:05,2023-09-26,61.0,1,2.6327777777777777,43.09112596491592
2023,2023-2024,matsumae19,matsumae19_T1,2023-09-11 02:23:24,2023-09-11 07:08:24,2023-09-11,103.7,2,2.5169444444444444,31.431966878866948
2023,2023-2024,matsumae19,matsumae19_T4,2023-09-21 02:22:24,2023-09-21 09:17:25,2023-09-21,259.8,6,3.9347222222222222,38.01061668403746
2023,2023-2024,matsumae19,matsumae19_T6,2023-09-24 02:36:25,2023-09-24 09:05:25,2023-09-24,167.0,4,2.6825,58.818496567325106
2023,2023-2024,matsumae19,matsumae19_T7,2023-09-25 02:36:24,2023-09-25 08:06:24,2023-09-25,92.8,2,2.8666666666666667,39.1285917146523
2023,2023-2024,matsumae19,matsumae19_T9,2023-09-26 02:36:25,2023-09-26 07:57:25,2023-09-26,26.6,1,2.3822222222222225,40.07653341476214
2023,2023-2024,matsumae19,matsumae19_T10,2023-09-27 02:38:25,2023-09-27 07:53:25,2023-09-27,97.0,1,1.6994444444444445,48.11751814885378
2023,2023-2024,matsumae21,matsumae21_T1,2023-09-23 02:40:55,2023-09-23 09:24:55,2023-09-23,172.5,3,4.750277777777778,34.665571592499504
2023,2023-2024,matsumae21,matsumae21_T7,2023-12-06 06:44:55,2023-12-06 11:12:54,2023-12-06,31.3,1,1.7330555555555556,36.209366452977086
2023,2023-2024,matsumae21,matsumae21_T8,2023-12-12 07:42:54,2023-12-12 11:05:55,2023-12-12,48.1,1,1.2169444444444444,28.224956478281307
2023,2023-2024,matsumae22,matsumae22_T2,2023-09-23 02:39:09,2023-09-23 08:51:10,2023-09-23,296.7,7,2.2325,31.130668922437653
2023,2023-2024,matsumae22,matsumae22_T15,2023-12-06 06:35:09,2023-12-06 10:53:10,2023-12-06,31.2,1,1.833611111111111,32.62165021517843
2023,2023-2024,matsumae24,matsumae24_T1,2023-09-11 02:14:39,2023-09-11 08:19:39,2023-09-11,204.5,5,4.101111111111111,33.26296471161202
2023,2023-2024,matsumae24,matsumae24_T2,2023-09-23 02:30:40,2023-09-23 09:24:39,2023-09-23,209.8,4,2.700277777777778,38.23957069457646
2023,2023-2024,matsumae25,matsumae25_T1,2023-09-12 02:19:09,2023-09-12 07:20:09,2023-09-12,129.8,3,2.9675,37.07770729093052
2023,2023-2024,matsumae25,matsumae25_T2,2023-09-14 02:17:09,2023-09-14 07:29:10,2023-09-14,120.5,2,3.183611111111111,35.06856496433187
2023,2023-2024,matsumae25,matsumae25_T3,2023-09-21 02:18:10,2023-09-21 09:22:10,2023-09-21,348.1,8,4.735,34.70868287906757
2023,2023-2024,matsumae26,matsumae26_T2,2023-09-21 02:23:09,2023-09-21 08:04:09,2023-09-21,220.1,5,2.7325,36.6742196763103
2023,2023-2024,matsumae26,matsumae26_T4,2023-09-24 02:43:09,2023-09-24 07:07:09,2023-09-24,63.599999999999994,2,2.383611111111111,27.053242654583165
2023,2023-2024,matsumae26,matsumae26_T6,2023-09-25 02:42:10,2023-09-25 07:30:10,2023-09-25,32.4,1,2.7158333333333333,34.22627887615858
2023,2023-2024,matsumae27,matsumae27_T4,2023-09-21 02:19:54,2023-09-21 09:10:55,2023-09-21,199.5,5,4.083333333333333,36.43344962029779
2023,2023-2024,matsumae28,matsumae28_T1,2023-09-21 02:09:35,2023-09-21 10:23:35,2023-09-21,532.5,12,5.385555555555555,37.69405294720322
2023,2023-2024,matsumae28,matsumae28_T9,2023-09-24 02:40:35,2023-09-24 08:45:34,2023-09-24,213.0,5,2.2333333333333334,59.957550611018085
2023,2023-2024,matsumae28,matsumae28_T14,2023-10-09 03:01:35,2023-10-09 08:41:34,2023-10-09,58.699999999999996,2,2.2494444444444444,43.43373466647016
2023,2023-2024,matsumae28,matsumae28_T16,2023-10-12 03:22:34,2023-10-12 07:37:34,2023-10-12,59.1,2,1.6169444444444445,33.13725410758891
2024,2024-2025,matsumae01,matsumae01_T6,2024-07-09 01:14:40,2024-07-09 12:09:39,2024-07-09,738.2,13,8.766666666666667,34.71100602120681
2024,2024-2025,matsumae01,matsumae01_T10,2024-07-11 01:14:40,2024-07-11 12:18:39,2024-07-11,700.0,13,8.750833333333334,46.04013412370479
2024,2024-2025,matsumae01,matsumae01_T14,2024-07-16 01:24:40,2024-07-16 11:36:39,2024-07-16,1055.3,18,8.016388888888889,46.77530232302317
2024,2024-2025,matsumae01,matsumae01_T35,2024-10-27 07:03:40,2024-10-27 10:34:40,2024-10-27,28.5,1,0.26666666666666666,28.010938259891706
2024,2024-2025,matsumae02,matsumae02_T5,2024-07-09 00:38:19,2024-07-09 10:01:20,2024-07-09,705.7,12,6.868333333333333,38.17565756367365
2024,2024-2025,matsumae02,matsumae02_T11,2024-07-10 00:43:20,2024-07-10 09:36:19,2024-07-10,749.3,19,6.6177777777777775,33.06783180595761
2024,2024-2025,matsumae02,matsumae02_T19,2024-07-16 00:38:19,2024-07-16 06:45:20,2024-07-16,361.1,7,5.166666666666667,23.23800577648755
2024,2024-2025,matsumae03,matsumae03_T5,2024-07-10 01:00:15,2024-07-10 09:59:15,2024-07-10,424.8,10,6.6658333333333335,39.652820997294015
2024,2024-2025,matsumae03,matsumae03_T6,2024-07-17 00:56:15,2024-07-17 09:57:14,2024-07-17,1147.1000000000001,18,5.966666666666667,46.73465838285308
2024,2024-2025,matsumae03,matsumae03_T9,2024-08-07 01:45:14,2024-08-07 10:30:14,2024-08-07,151.7,3,5.766666666666667,49.34579151481779
2024,2024-2025,matsumae04,matsumae04_T6,2024-07-09 01:10:49,2024-07-09 07:33:49,2024-07-09,357.4,6,4.448888888888889,30.6947959153572
2024,2024-2025,matsumae04,matsumae04_T7,2024-07-10 00:58:50,2024-07-10 09:37:50,2024-07-10,317.1,6,6.898611111111111,33.68110323441287
2024,2024-2025,matsumae04,matsumae04_T8,2024-07-16 01:02:49,2024-07-16 08:58:49,2024-07-16,470.7,8,5.7347222222222225,39.55747170402044
2024,2024-2025,matsumae04,matsumae04_T20,2024-08-19 01:32:49,2024-08-19 07:01:48,2024-08-19,38.2,1,3.0997222222222223,40.66752985054685
2024,2024-2025,matsumae04,matsumae04_T21,2024-08-20 01:26:49,2024-08-20 07:07:50,2024-08-20,40.1,1,2.7,49.267082859573044
2024,2024-2025,matsumae04,matsumae04_T32,2024-09-29 02:39:49,2024-09-29 08:07:50,2024-09-29,57.1,1,2.8008333333333333,40.06373802853256
