line_number_1based,vessel_id,ts,prev_ts,lat,long,lat_dd,long_dd
252,matsumae06,2023-07-08 00:47:25,,4127.439,13955.808,41.457317,139.930133
254,matsumae01,2023-07-08 00:47:40,,4128.958,13958.211,41.482633,139.970183
256,matsumae04,2023-07-08 00:47:49,,4129.413,13957.792,41.490217,139.9632
258,matsumae02,2023-07-08 00:48:20,,4131.855,13955.555,41.530917,139.925917
260,matsumae06,2023-07-08 00:48:25,,4127.557,13955.659,41.459283,139.92765
262,matsumae01,2023-07-08 00:48:39,,4128.978,13958.023,41.482967,139.96705
264,matsumae04,2023-07-08 00:48:50,,4129.474,13957.609,41.491233,139.96015
266,matsumae02,2023-07-08 00:49:19,,4131.835,13955.548,41.530583,139.9258
268,matsumae06,2023-07-08 00:49:24,,4127.68,13955.528,41.461333,139.925467
270,matsumae01,2023-07-08 00:49:40,,4129.001,13957.838,41.48335,139.963967
272,matsumae04,2023-07-08 00:49:50,,4129.537,13957.423,41.492283,139.95705
274,matsumae02,2023-07-08 00:50:19,,4131.815,13955.542,41.53025,139.9257
276,matsumae06,2023-07-08 00:50:25,,4127.833,13955.503,41.463883,139.92505
278,matsumae01,2023-07-08 00:50:40,,4129.027,13957.651,41.483783,139.96085
280,matsumae04,2023-07-08 00:50:49,,4129.599,13957.24,41.493317,139.954
282,matsumae02,2023-07-08 00:51:19,,4131.797,13955.539,41.52995,139.92565
284,matsumae06,2023-07-08 00:51:24,,4127.99,13955.447,41.4665,139.924117
286,matsumae01,2023-07-08 00:51:39,,4129.055,13957.464,41.48425,139.957733
288,matsumae04,2023-07-08 00:51:49,,4129.659,13957.051,41.494317,139.95085
290,matsumae02,2023-07-08 00:52:20,,4131.779,13955.537,41.52965,139.925617
292,matsumae06,2023-07-08 00:52:24,,4128.141,13955.404,41.469017,139.9234
294,matsumae01,2023-07-08 00:52:39,,4129.084,13957.273,41.484733,139.95455
296,matsumae04,2023-07-08 00:52:49,,4129.762,13956.923,41.496033,139.948717
298,matsumae02,2023-07-08 00:53:19,,4131.76,13955.532,41.529333,139.925533
300,matsumae06,2023-07-08 00:53:24,,4128.292,13955.366,41.471533,139.922767
302,matsumae01,2023-07-08 00:53:39,,4129.115,13957.085,41.48525,139.951417
304,matsumae04,2023-07-08 00:53:49,,4129.882,13956.809,41.498033,139.946817
