vessel_id,op_id,start_ts,end_ts,days,points,distance_km
matsumae18,20,2024-10-26 02:27:04+09:00,2024-10-26 15:50:05+09:00,2024-10-26,1462,113.4811096218308
matsumae19,1,2024-07-16 00:56:24+09:00,2024-07-16 12:48:24+09:00,2024-07-16,1115,96.29034036481835
matsumae19,2,2024-07-17 01:07:24+09:00,2024-07-17 10:54:24+09:00,2024-07-17,1090,81.14532348008973
matsumae20,1,2024-07-11 00:51:45+09:00,2024-07-11 15:01:45+09:00,2024-07-11,1608,100.63856915496903
matsumae20,2,2024-07-16 00:55:44+09:00,2024-07-16 14:39:44+09:00,2024-07-16,1608,79.7793185019082
matsumae21,1,2024-07-16 00:43:54+09:00,2024-07-16 09:52:55+09:00,2024-07-16,1034,77.22110640587158
matsumae21,2,2024-07-17 00:48:54+09:00,2024-07-17 08:10:55+09:00,2024-07-17,876,51.05582758748986
matsumae21,5,2024-09-09 01:48:54+09:00,2024-09-09 07:39:54+09:00,2024-09-09,612,45.38957492917609
matsumae21,6,2024-09-12 02:06:56+09:00,2024-09-12 08:01:55+09:00,2024-09-12,445,50.6256040882986
matsumae21,7,2024-10-12 02:43:54+09:00,2024-10-12 08:21:53+09:00,2024-10-12,652,43.13007974285584
matsumae21,8,2024-10-30 02:50:54+09:00,2024-10-30 09:21:56+09:00,2024-10-30,566,53.67792875107904
matsumae22,1,2024-07-16 00:50:09+09:00,2024-07-16 10:17:10+09:00,2024-07-16,983,68.4129908861237
matsumae22,2,2024-08-19 01:25:09+09:00,2024-08-19 03:20:09+09:00,2024-08-19,227,18.55329052825503
matsumae22,3,2024-08-19 04:56:09+09:00,2024-08-19 07:26:10+09:00,2024-08-19,98,24.242941610429103
matsumae22,4,2024-08-20 01:21:09+09:00,2024-08-20 07:04:09+09:00,2024-08-20,478,48.07954752151276
matsumae22,5,2024-10-14 02:26:10+09:00,2024-10-14 08:19:10+09:00,2024-10-14,632,45.010084147326324
matsumae22,6,2024-11-01 02:45:09+09:00,2024-11-01 08:08:10+09:00,2024-11-01,571,44.120973344145554
matsumae22,7,2024-11-10 03:07:10+09:00,2024-11-10 08:38:10+09:00,2024-11-10,548,48.96173520341175
matsumae23,1,2024-07-09 01:17:34+09:00,2024-07-09 12:00:34+09:00,2024-07-09,1230,65.83199718671528
matsumae23,2,2024-07-10 00:51:35+09:00,2024-07-10 11:32:35+09:00,2024-07-10,1248,70.01908909302387
matsumae23,3,2024-07-11 00:53:34+09:00,2024-07-11 14:14:34+09:00,2024-07-11,1104,88.15722404535097
matsumae23,4,2024-07-17 00:44:34+09:00,2024-07-17 07:24:34+09:00,2024-07-17,800,37.469799048470094
matsumae24,1,2024-07-10 00:52:39+09:00,2024-07-10 11:28:39+09:00,2024-07-10,1152,79.19511655068737
matsumae24,3,2024-07-17 00:52:39+09:00,2024-07-17 09:39:40+09:00,2024-07-17,946,76.28235653487009
matsumae24,5,2024-08-07 01:32:40+09:00,2024-08-07 17:02:39+09:00,2024-08-07,1249,90.64777708993216
matsumae25,1,2024-07-10 01:33:10+09:00,2024-07-10 11:15:09+09:00,2024-07-10,1068,41.34252787680413
matsumae25,3,2024-07-16 01:02:10+09:00,2024-07-16 09:09:10+09:00,2024-07-16,955,45.26568004423039
matsumae25,4,2024-08-03 01:24:09+09:00,2024-08-03 07:47:10+09:00,2024-08-03,704,62.4163663533906
matsumae25,5,2024-08-07 01:20:09+09:00,2024-08-07 10:34:10+09:00,2024-08-07,920,78.60059724841128
matsumae26,1,2024-07-12 01:03:10+09:00,2024-07-12 06:08:10+09:00,2024-07-12,612,36.97032519717147
matsumae26,2,2024-07-16 01:04:10+09:00,2024-07-16 10:15:10+09:00,2024-07-16,1075,59.27321194082381
matsumae26,3,2024-07-17 01:00:10+09:00,2024-07-17 09:46:09+09:00,2024-07-17,1041,50.5198189188174
matsumae26,4,2024-08-06 01:48:10+09:00,2024-08-06 07:14:09+09:00,2024-08-06,654,40.51376372854652
matsumae27,1,2024-07-10 00:54:54+09:00,2024-07-10 09:48:55+09:00,2024-07-10,924,52.63256329139183
matsumae27,2,2024-07-11 00:50:55+09:00,2024-07-11 10:48:54+09:00,2024-07-11,1052,76.50227846942906
matsumae27,3,2024-07-17 00:52:55+09:00,2024-07-17 11:29:54+09:00,2024-07-17,1155,75.6583414771113
matsumae27,4,2024-08-07 01:14:54+09:00,2024-08-07 11:25:54+09:00,2024-08-07,952,55.474456778855796
matsumae28,1,2024-07-16 00:50:34+09:00,2024-07-16 08:38:34+09:00,2024-07-16,872,82.83506826419547
matsumae28,2,2024-07-17 00:36:35+09:00,2024-07-17 08:45:34+09:00,2024-07-17,928,75.38914042101953
matsumae28,3,2024-10-18 02:57:36+09:00,2024-10-18 08:25:34+09:00,2024-10-18,658,54.43364338065007
matsumae28,4,2024-10-26 02:51:35+09:00,2024-10-26 09:05:35+09:00,2024-10-26,729,59.37839765684678
matsumae28,5,2024-10-26 10:32:35+09:00,2024-10-26 15:15:34+09:00,2024-10-26,551,59.81449333632159
matsumae28,6,2024-11-10 03:13:34+09:00,2024-11-10 09:08:35+09:00,2024-11-10,711,52.72893061107712
