trip_id,vessel_id,dep_ts,arr_ts,duration_h,fishing_h,steaming_h,distance_km,dep_lat,dep_lon,arr_lat,arr_lon,dep_date,arr_date
matsumae03_T9,matsumae03,2023-09-12 02:03:14,2023-09-12 08:05:15,6.033611111111111,3.350277777777778,2.6833333333333336,43.31580992917696,41.483267,139.994783,41.496333,139.9905,2023-09-12,2023-09-12
matsumae04_T10,matsumae04,2023-08-01 01:39:49,2023-08-01 07:17:49,5.633333333333334,3.1658333333333335,2.4675000000000002,41.75193326703017,41.486367,139.992233,41.49385,139.990867,2023-08-01,2023-08-01
matsumae04_T11,matsumae04,2023-08-07 01:37:50,2023-08-07 08:07:50,6.5,4.334722222222222,2.165277777777778,41.891531031564924,41.478383,139.99405,41.487767,139.991683,2023-08-07,2023-08-07
matsumae04_T12,matsumae04,2023-08-19 01:40:49,2023-08-19 06:29:49,4.816666666666666,2.0661111111111112,2.7505555555555556,36.08951369553665,41.47525,139.997917,41.474483,139.998517,2023-08-19,2023-08-19
matsumae04_T13,matsumae04,2023-08-21 01:33:49,2023-08-21 06:55:49,5.366666666666667,1.935,3.4316666666666666,48.70259920435709,41.4738,140.000133,41.4726,140.000683,2023-08-21,2023-08-21
matsumae04_T14,matsumae04,2023-08-28 02:02:49,2023-08-28 07:20:50,5.300277777777778,2.0836111111111113,3.216666666666667,50.07076558581619,41.475367,139.998333,41.492733,139.991117,2023-08-28,2023-08-28
matsumae04_T15,matsumae04,2023-09-04 02:06:49,2023-09-04 06:48:49,4.7,2.602222222222222,2.097777777777778,33.78489686874516,41.493317,139.990817,41.497117,139.99035,2023-09-04,2023-09-04
matsumae04_T16,matsumae04,2023-09-06 02:10:50,2023-09-06 08:30:50,6.333333333333333,2.5008333333333335,3.8325,39.794894488627655,41.498567,139.97495,41.499867,139.990767,2023-09-06,2023-09-06
matsumae04_T17,matsumae04,2023-09-11 02:07:50,2023-09-11 08:10:49,6.049722222222222,4.333888888888889,1.7158333333333333,29.773829954008,41.4884,139.991667,41.489767,139.991283,2023-09-11,2023-09-11
matsumae04_T2,matsumae04,2023-07-08 00:36:50,2023-07-08 06:18:49,5.699722222222222,3.285,2.414722222222222,34.893525272743396,41.479233,139.9956,41.474267,139.998967,2023-07-08,2023-07-08
matsumae04_T3,matsumae04,2023-07-10 01:14:49,2023-07-10 09:38:50,8.400277777777777,5.699166666666667,2.701111111111111,46.52120087275728,41.47795,139.99625,41.411833,140.067683,2023-07-10,2023-07-10
matsumae04_T6,matsumae04,2023-07-17 01:08:50,2023-07-17 08:26:50,7.3,4.916388888888889,2.383611111111111,43.608037005119044,41.48035,139.995917,41.413633,140.067233,2023-07-17,2023-07-17
matsumae04_T9,matsumae04,2023-07-24 05:53:49,2023-07-24 08:27:49,2.566666666666667,0.8172222222222223,1.7494444444444446,22.415331371433368,41.498083,139.990633,41.510767,139.97315,2023-07-24,2023-07-24
matsumae05_T1,matsumae05,2023-08-01 01:38:10,2023-08-01 07:41:09,6.049722222222222,2.9833333333333334,3.066388888888889,42.48057817626619,41.47105,140.004367,41.467583,140.006417,2023-08-01,2023-08-01
matsumae05_T2,matsumae05,2023-08-21 01:43:10,2023-08-21 06:56:09,5.216388888888889,1.7180555555555557,3.4983333333333335,45.21762088745085,41.4666,140.008217,41.461183,140.00725,2023-08-21,2023-08-21
matsumae05_T3,matsumae05,2023-09-03 02:10:09,2023-09-03 07:16:10,5.100277777777778,2.8494444444444444,2.2508333333333335,29.988854441333363,41.468283,140.005683,41.4721,140.00265,2023-09-03,2023-09-03
matsumae05_T4,matsumae05,2023-09-12 02:22:09,2023-09-12 06:54:09,4.533333333333333,2.0494444444444446,2.483888888888889,31.1581166376857,41.47085,140.003167,41.48615,139.992583,2023-09-12,2023-09-12
matsumae05_T5,matsumae05,2023-09-14 02:22:09,2023-09-14 07:14:10,4.866944444444445,2.2997222222222224,2.567222222222222,33.493901777460756,41.471133,140.003367,41.48525,139.99335,2023-09-14,2023-09-14
matsumae05_T6,matsumae05,2023-09-21 02:16:10,2023-09-21 10:15:09,7.983055555555556,5.0325,2.950555555555556,42.254466538423394,41.468117,140.005833,41.478283,139.9965,2023-09-21,2023-09-21
matsumae05_T7,matsumae05,2023-10-09 02:54:09,2023-10-09 04:21:10,1.4502777777777778,0.6661111111111111,0.7841666666666667,10.02419235375085,41.46855,140.00515,41.471183,140.003767,2023-10-09,2023-10-09
matsumae06_T0,matsumae06,2023-04-28 06:26:24,2023-07-08 06:41:24,1704.25,2.8830555555555555,1701.3669444444442,138.38268064902374,41.8151,140.719067,41.4347,140.0233,2023-04-28,2023-07-08
matsumae06_T11,matsumae06,2023-09-23 01:51:24,2023-09-23 08:35:24,6.733333333333333,1.9169444444444446,4.816388888888889,53.78933255488955,41.406083,140.0744,41.563533,139.971483,2023-09-23,2023-09-23
matsumae06_T15,matsumae06,2023-10-12 03:25:24,2023-12-24 12:07:25,1760.7002777777777,405.4838888888888,1355.2163888888888,191.55429801048987,41.372083,140.133883,41.339117,140.1869,2023-10-12,2023-12-24
matsumae06_T4,matsumae06,2023-07-24 07:39:23,2023-08-21 07:11:25,671.5338888888889,2.0186111111111114,669.5152777777778,68.02048852183451,41.407383,140.146683,41.403717,140.0805,2023-07-24,2023-08-21
matsumae06_T6,matsumae06,2023-09-12 01:57:25,2023-09-12 07:00:25,5.05,1.7991666666666668,3.2508333333333335,51.28680893740017,41.403933,140.0796,41.449283,140.016283,2023-09-12,2023-09-12
matsumae06_T8,matsumae06,2023-09-12 07:23:25,2023-09-21 10:39:24,219.26638888888888,5.517222222222222,213.74916666666667,57.25309306485636,41.40845,140.110467,41.447533,140.016717,2023-09-12,2023-09-21
matsumae07_T10,matsumae07,2023-09-11 02:13:34,2023-09-11 09:01:34,6.8,4.5325,2.2675,31.905132463413004,41.48955,139.990683,41.49785,139.9913,2023-09-11,2023-09-11
matsumae07_T11,matsumae07,2023-09-23 02:41:35,2023-09-23 08:32:35,5.85,3.416388888888889,2.433611111111111,35.82342190858069,41.495067,139.9904,41.538267,139.969283,2023-09-23,2023-09-23
matsumae07_T13,matsumae07,2023-09-24 02:41:34,2023-09-24 08:50:35,6.150277777777778,1.4491666666666667,4.7011111111111115,39.860020184323744,41.4971,139.99115,41.50305,139.995067,2023-09-24,2023-09-24
matsumae07_T2,matsumae07,2023-08-01 01:29:34,2023-08-01 07:54:34,6.416666666666667,3.867777777777778,2.548888888888889,44.22269279128463,41.4984,139.991117,41.494433,139.990417,2023-08-01,2023-08-01
matsumae07_T3,matsumae07,2023-08-07 01:25:35,2023-08-07 09:04:35,7.65,4.417222222222223,3.2327777777777778,44.587142804821305,41.48735,139.992067,41.49085,139.990217,2023-08-07,2023-08-07
matsumae07_T4,matsumae07,2023-08-09 01:49:34,2023-08-09 08:20:34,6.516666666666667,3.951111111111111,2.5655555555555556,36.71598085738311,41.488033,139.991667,41.488383,139.990767,2023-08-09,2023-08-09
matsumae07_T5,matsumae07,2023-08-19 01:46:34,2023-08-19 07:36:34,5.833333333333333,3.1838888888888888,2.6494444444444447,38.44854254155607,41.489467,139.991367,41.48955,139.990117,2023-08-19,2023-08-19
matsumae07_T6,matsumae07,2023-08-21 01:38:35,2023-08-21 07:17:34,5.6497222222222225,1.6325,4.017222222222222,46.69126786748891,41.482017,139.995433,41.487717,139.990467,2023-08-21,2023-08-21
matsumae07_T7,matsumae07,2023-08-29 02:08:34,2023-08-29 08:53:34,6.75,2.9347222222222222,3.8152777777777778,45.30632087215269,41.490767,139.991,41.50235,139.994583,2023-08-29,2023-08-29
matsumae07_T8,matsumae07,2023-09-04 02:01:34,2023-09-04 07:31:34,5.5,3.166666666666667,2.3333333333333335,32.76343803092909,41.4941,139.99095,41.498983,139.991533,2023-09-04,2023-09-04
matsumae07_T9,matsumae07,2023-09-06 02:00:35,2023-09-06 08:59:34,6.983055555555556,5.283611111111111,1.6994444444444445,30.352131316242232,41.491983,139.989867,41.498867,139.99185,2023-09-06,2023-09-06
matsumae08_T10,matsumae08,2023-09-23 02:39:39,2023-09-23 08:06:39,5.45,2.9325,2.5175,35.41363089329295,41.4943,139.991283,41.50435,139.996183,2023-09-23,2023-09-23
matsumae08_T11,matsumae08,2023-09-24 02:39:40,2023-09-24 08:15:40,5.6000000000000005,2.7658333333333336,2.834166666666667,40.652777921091285,41.496017,139.99035,41.505,139.996667,2023-09-24,2023-09-24
matsumae08_T12,matsumae08,2023-09-26 02:36:39,2023-09-26 08:00:40,5.400277777777778,2.833888888888889,2.566388888888889,38.84144396175685,41.493333,139.9909,41.503967,139.9956,2023-09-26,2023-09-26
matsumae08_T13,matsumae08,2023-09-27 02:44:40,2023-09-27 08:28:40,5.733333333333333,2.533333333333333,3.2,40.53703541840958,41.49245,139.990317,41.5014,139.992617,2023-09-27,2023-09-27
matsumae08_T14,matsumae08,2023-10-09 02:55:39,2023-10-09 07:55:39,5.0,2.4,2.6,34.17547188280471,41.494283,139.990667,41.502683,139.994117,2023-10-09,2023-10-09
matsumae08_T15,matsumae08,2023-10-12 03:16:40,2023-10-12 08:01:39,4.749722222222222,2.6508333333333334,2.098888888888889,28.13738136065655,41.491033,139.991167,41.49745,139.991633,2023-10-12,2023-10-12
matsumae08_T16,matsumae08,2023-10-15 03:11:40,2023-10-15 07:23:39,4.199722222222222,2.282777777777778,1.9169444444444446,25.15456139565992,41.493533,139.99105,41.494,139.990967,2023-10-15,2023-10-15
matsumae08_T17,matsumae08,2023-11-05 02:38:40,2023-11-05 08:49:39,6.183055555555556,3.2330555555555556,2.95,41.92887540457117,41.4849,139.993117,41.426983,139.91785,2023-11-05,2023-11-05
matsumae08_T18,matsumae08,2023-12-25 03:54:40,2023-12-25 10:08:40,6.233333333333333,3.016388888888889,3.2169444444444446,52.08228134833859,41.483783,139.95195,41.4805,139.99625,2023-12-25,2023-12-25
matsumae08_T2,matsumae08,2023-07-20 01:27:39,2023-07-20 07:07:39,5.666666666666667,3.3169444444444447,2.3497222222222223,33.10430796947104,41.496133,139.990617,41.45015,140.018883,2023-07-20,2023-07-20
matsumae08_T5,matsumae08,2023-07-24 01:27:40,2023-07-24 07:54:40,6.45,3.483611111111111,2.966388888888889,38.834839039063056,41.494317,139.9909,41.503167,139.994467,2023-07-24,2023-07-24
matsumae08_T6,matsumae08,2023-08-07 01:42:40,2023-08-07 07:23:40,5.683333333333334,3.0,2.6833333333333336,37.74411252801968,41.491883,139.990033,41.49265,139.989867,2023-08-07,2023-08-07
matsumae08_T7,matsumae08,2023-09-04 02:14:39,2023-09-04 07:23:40,5.150277777777778,3.15,2.000277777777778,31.14123713141143,41.493167,139.990233,41.501517,139.994217,2023-09-04,2023-09-04
